Y,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104
1498,No,0.171838449,-0.081763797,-1.448867949,-1.302547008,-0.143061273,-0.339784386,-1.206475106,0.44449276,-0.299087518,-1.09389077,-0.714118153,-1.134512699,0.482599171,-0.947714241,-0.752076852,-2.006281435,0.771404984,-0.449513408,1.865462453,-0.594169279,-1.935345626,-0.202305408,-0.081251092,0.056500474,-0.095322,-0.317874995,0.915673652,0.429237868,0.17276301,0.888899876,1.498714257,2.575541117,-1.016670572,-0.833648293,-0.842094973,0.374665696,1.107613864,2.126503169,0.562749011,-0.891270892,-0.515585296,0.151916914,-0.111228063,-0.806178788,-0.129783718,0.437015718,-1.079922599,-0.316686107,0.895009692,-0.537862678,-0.971185055,0.418917066,1.18566461,-0.385437864,-0.433274006,-1.06247491,-0.083371215,0.165866106,-0.356343969,-1.949204268,-0.043702983,-0.391794894,-1.709685163,-1.314100161,1.879991693,0.058265292,0.680359708,-0.592238435,1.409732565,-1.085260096,-0.213287861,0.027762928,0.22953882,-0.101668515,1.379020718,-0.491795398,1.589144943,0.756100498,-1.062312266,0.559463493,0.335301011,1.129268953,-0.732280792,1.246977704,0.318703366,-0.355047974,-0.488592783,-0.93858251,-0.765530599,-2.380068827,-0.777827937,0.770641789,1.316963311,-1.3790655,0.420436227,-0.827446406,0.318695371,-0.787408754,0.351405642,-0.836106919,0.015501952,0.435444189,-0.87990608
334,Yes,-0.605767171,-0.584359542,-0.485169035,-0.848111205,-0.493546347,-0.392331893,-0.239787544,0.421697026,-0.299087518,-0.355416275,-0.346654706,-0.862817101,1.51838451,0.26276351,-0.550421032,0.49696261,-0.334399674,0.175293327,0.348320054,-0.005123715,-0.274218233,-0.489977644,0.699336697,-0.276072034,0.499877257,0.213714026,0.52781077,0.823189717,-1.001609548,-0.100823804,-0.888647874,-1.236739,-0.82347843,-0.306756724,-0.610316315,-0.618088933,0.900044038,0.667284912,-0.216423642,0.703364457,0.683084929,0.151617948,-0.992557042,-0.356842435,-0.456849682,0.423690996,1.727140022,-0.036986227,0.579497109,0.471996186,-1.353047597,-1.039590256,-0.838343272,0.428217517,0.488903533,1.042167716,0.788029893,2.085224088,-0.529534219,-2.377275172,-1.32793298,1.607488834,0.079522396,0.675884863,-1.110866586,0.803260764,1.7453127,-0.097755245,-0.700704371,-0.793199431,0.360744175,-0.101313782,0.895140713,-1.103709939,-0.520753817,0.022779732,-0.248462492,-1.28157467,0.731631338,-0.5569798,0.787579735,-0.747787578,-0.5619211,-0.182023785,0.975901355,0.852337356,-1.040392305,-0.934531516,-1.555527704,0.361231974,-2.935395395,-0.38893977,-0.950009643,0.39884008,-0.434788844,-0.69886211,1.3872189,0.948455611,0.191397066,1.451698688,-1.243616484,-0.69907151,1.75143356
845,Yes,-0.26632967,-0.126965127,0.138400851,0.262731868,-0.202437568,0.397194397,0.13778983,0.047846985,2.729281758,-0.503111174,-0.285410798,-0.387349805,0.886808083,-0.22142759,-0.301463228,1.137327365,-0.690014321,1.35751659,-0.24175477,-0.414461895,-0.10709997,-1.428049837,0.168572004,-0.529021683,-0.610726902,-0.623499045,0.290618363,-0.703581972,-0.092201858,-0.519258448,2.2949322,-0.55225371,0.314938377,-0.759301568,-0.248341243,0.980300681,-0.617176428,-1.407396594,-0.072799119,-0.167050781,-0.069188148,0.435669236,0.268150146,-0.101120127,-1.4320996,0.366354359,-0.571794614,0.240541071,1.114277837,-0.251408833,-2.022841506,0.107724446,-0.547065691,1.071740503,-0.596314765,0.539803386,0.473548565,-0.177788493,-1.029049609,0.272910498,-0.652597823,-2.410391347,0.112303536,0.140784713,-1.365481095,-0.672769823,-0.418638938,0.523650105,0.714492755,-0.365016564,0.425798034,-1.322376571,-0.804551648,0.43931563,0.576510979,0.486390397,0.113510298,0.150924035,-0.525515115,0.702385271,-1.627800656,-0.078852641,-1.345694389,0.415822072,0.948308174,0.126747439,-1.650605666,0.76496991,-0.241804314,-1.637535453,0.705915853,-0.135310196,-0.437736966,-0.450999027,-0.627829843,0.677157815,-0.140254985,-0.798640984,-0.972419496,-0.85203486,0.080914443,-1.906251517,0.705508843
1484,No,0.113497629,0.893293474,-0.825298063,-0.44416827,0.756242194,0.179122244,-1.145078391,-1.471260743,0.306586337,0.973837817,0.388272188,0.22396529,0.735229741,0.101366477,-0.641577889,-1.365916679,-0.357716548,0.027493889,0.712919491,-1.025816634,-0.954162212,-0.050109971,0.578053066,-0.422849002,-0.810795281,0.348658644,-1.584416558,2.414421389,0.265469284,0.809568374,-1.174663094,0.519426759,0.572069597,-0.55063075,0.4677353,-0.4336471,2.256186389,-1.188238905,0.72358154,0.099658234,-0.228095667,-0.382896946,-1.18047798,-0.201953247,1.515408879,-0.486661708,0.428793179,0.659145716,-2.110411846,0.326251341,0.683150908,0.83566055,0.330847882,0.197739849,0.749974033,1.740139164,-0.075419461,-0.973921435,0.806969125,-0.205675344,1.189278024,0.816591786,-0.780628816,0.650837994,-1.309353044,1.370214929,1.252203346,0.113338337,1.041505649,-1.666527235,0.725458843,1.664575179,-0.757485858,1.28007684,0.768210545,0.313267727,0.213150059,-0.790431792,0.711355562,1.768008749,-0.38957811,-1.545166718,-0.446803064,-0.218997058,0.648566855,-0.878220206,0.58317149,0.828894614,-0.811756474,1.453238267,-0.036556211,-0.473983694,0.28654471,0.31631153,0.131009508,0.878133881,-0.306248609,-1.263269552,1.316119674,-0.999717323,1.104160551,-0.234038074,-0.08348842
301,Yes,-0.62045437,-0.608036429,-0.088351835,0.111253267,-0.598898037,-0.513191159,0.752999838,1.055418437,-0.299087518,-0.724653522,0.32702828,0.767356485,-0.755290624,2.038130879,0.822868513,0.380532654,-1.24971113,-0.512605243,-0.793579831,0.379814003,-0.425754375,-0.434506587,-0.162129975,0.326540916,-1.589036755,-0.626654449,-0.994407211,-1.341412546,0.291033366,-0.872243325,0.46757167,0.856113062,-0.938215231,-0.256569473,0.879709521,-1.31062714,0.511717134,-1.72928321,-0.34662423,-0.155427073,-0.604914446,0.866206876,0.828597006,-1.666174356,-0.684945115,0.783891785,1.119813646,-1.372434981,0.003298747,0.651697554,0.04677347,3.00090963,0.424761925,-0.907339162,2.596461333,-1.256166626,-1.598723803,2.911886823,0.057072485,0.083005662,-1.591288532,0.115314125,0.943681217,-0.115205805,0.137131507,0.158572804,0.098670634,0.956477881,0.1523577,-0.937887148,0.415617667,-0.034009914,-0.604767949,-0.827769475,0.73016224,-0.728181971,-0.532078766,-1.17680087,0.054912839,1.375092179,0.023332536,-1.712066527,0.513454345,-0.079124498,-0.713268788,0.069968106,0.237084139,-0.04059851,-0.797393044,1.118021688,-0.104147309,-0.150032577,1.17854847,0.3648837,0.251667407,0.37378733,-0.354598858,0.085018776,1.207509024,-0.762206135,-0.067317702,0.158247426,0.592637867
1576,Yes,0.230587248,0.19159663,-0.768609892,-0.797618338,0.221030869,0.000460721,-0.656390361,-0.553960399,0.124884181,2.480325788,-2.183971939,-2.492990687,0.608914456,-1.512603858,0.616233536,-1.249486724,-0.624815056,1.317681488,1.318554248,-0.402525726,-0.34249547,-0.60816154,-1.649076647,0.897816278,-0.265499779,-0.973991473,0.092183807,-0.630031735,-0.785984585,-0.574698332,-0.941922539,0.379342445,0.324950414,-0.8983611,-0.647256111,1.340391851,-0.14278546,-1.423346052,0.76580129,1.159817609,0.756604241,-0.036972678,-0.124036782,0.197884767,-0.058181367,1.455842514,-1.497101039,-0.092768775,0.746128154,-1.820961059,0.843904315,0.684369549,-0.84444285,-1.338206152,-0.124319511,0.341874495,-0.761881115,0.529435359,1.787127499,-0.064513192,-0.023635779,0.186091804,0.092640082,0.201220109,-1.460879726,-1.166408522,1.786766992,0.67640819,-0.229553161,-0.017057027,0.600033512,-0.303873754,1.871564323,0.374729679,-1.18405821,0.531708693,2.161155529,0.843853319,-0.110684712,0.150603979,-0.725002519,0.668389241,0.538481544,1.286872298,-0.130133813,-0.223583182,-0.032799289,0.42178858,0.194407877,0.479436409,0.969532883,-0.16910934,0.016067925,-0.881851326,-1.544737344,0.327272179,-0.75389243,1.065263766,-0.782456696,0.083615162,0.339544091,0.366135356,1.377504883
2079,No,0.209372404,0.13132819,-1.222115263,-1.605504209,0.555434863,1.987413323,-1.113261469,0.078849183,-0.299087518,-0.525265408,-0.22416689,-0.455273704,0.65944057,-1.512603858,-0.911601352,-0.958411835,-0.46914734,-1.133949705,-1.093936095,-0.621899192,0.081792344,0.754728259,-0.573415786,1.053089443,0.029750224,0.191771995,-1.232428117,-0.994318478,0.782881997,-1.214748101,-0.121007329,0.412315053,-0.777328621,-1.229831326,0.841445473,0.242228663,-1.592924799,1.29475786,-0.757187734,1.138263045,1.066606201,-0.348929717,-0.728583228,-2.129270834,-0.291521282,-0.609737249,0.809793359,-0.480047797,0.575425007,-0.543745825,-1.040958851,0.722091053,0.193249983,0.980771685,0.239695138,-0.704493896,0.208473798,-0.793678979,0.654792085,-0.620082764,-0.516965922,-0.395902219,-0.852492531,0.515013038,0.225119587,-0.980265538,0.137905058,-0.775726829,-0.397152319,1.536100175,0.022845558,0.285713704,-1.022687764,-1.25922367,0.812176614,-0.689108657,0.963744019,-0.650707236,0.256147424,0.225585162,0.953794714,-0.369543213,-0.781893097,-0.689447953,1.636281065,1.052019024,1.515116161,1.077146502,-0.739009682,0.202564955,0.956520686,-0.236073357,0.434118656,1.268380487,2.137018945,-0.425180961,0.216515557,0.040980663,0.339192865,-0.10816204,0.4715108,-0.010749882,-0.29685045
96,Yes,-0.756310966,-0.771622197,-1.278803434,-1.555011343,-0.660954512,-0.184769241,0.275746014,-0.079809127,-1.510435229,-1.241585669,-1.816508493,-0.183578107,0.103653315,-1.189809791,-0.086401987,-1.482346635,1.698302747,0.47605997,0.81740087,-0.855820457,-0.564201275,-0.845050115,-0.555476459,0.09757102,-0.729269181,-0.089625495,0.506291146,0.498930025,0.845403089,0.853867493,0.73340012,1.539477094,1.421448468,-0.910613551,-0.999185541,-2.516414929,1.872406234,-0.314681372,1.475016044,-0.391493617,-0.848530474,1.570521084,1.1368844,0.950259435,0.049230518,1.06339791,-0.330764078,-0.836586165,0.25571377,-1.420262696,-0.398309522,2.579441695,-0.577872499,-0.081416137,0.684404606,-0.964630092,0.912578538,-0.497339243,-0.749653301,0.220503472,-0.3660199,-1.354079451,-0.77495735,-0.274891491,1.820783236,1.574672946,1.49793287,-0.681293601,-0.877644786,-1.889214758,-0.438403695,1.810545385,1.111442932,-0.199087635,-0.526440149,-0.701807499,-0.520407437,-1.55144646,-0.161281923,0.85303901,-0.27573695,-1.748447058,-1.171564865,-0.416908999,-1.037726446,-1.041140242,-0.827857785,-0.504876088,-0.476196536,-0.365933266,-1.550795566,-0.334707837,0.085503851,-0.695795876,2.795448686,-0.423675026,1.339140708,-0.501373907,0.51268991,1.454626939,0.329901781,0.503535077,-0.052289194
408,Yes,-0.53477904,-0.557453988,-0.31510452,-0.191703935,-0.570034561,-0.537494381,-0.264644514,-0.989814837,-0.299087518,0.829096816,-0.959093784,-1.134512699,-0.275292541,-0.463523141,-0.445284236,-0.783766902,-0.270022584,-0.503475771,0.188467393,-2.066348209,-0.612553021,-0.980336968,1.311207983,-0.655682865,0.823137823,-0.029494047,0.510237784,0.19238872,-0.580753176,-1.471374433,-0.238085532,-1.289545324,0.85591658,0.852061396,-1.763105834,0.750689869,0.273010297,-1.697975519,0.353610693,0.244106353,0.407550084,1.310722319,1.281767323,-0.38026393,0.671079401,-0.666449032,0.687718946,-0.233178538,-0.265635412,-1.390617323,-0.457236336,0.407133507,-0.103991568,0.56668898,0.395792557,0.879385702,-0.508912573,-0.613748645,-0.479604605,-0.290999154,-0.314777455,-0.065986434,0.913286144,1.095080475,-0.754616974,-0.991320194,0.406251675,1.373427725,-0.038396888,-1.694552829,-0.326925938,0.269330396,0.244517547,0.474047306,0.169682568,-1.644040128,-1.682552345,2.1722719,0.078219262,-1.584418854,0.30882372,-2.041721215,-1.375572152,-0.092556584,0.130539251,0.016299906,-0.624010782,2.208511004,0.533421297,0.931818079,-1.452213653,-0.040433455,-0.670539545,-1.056172015,0.583657892,0.231052736,-0.492963346,-0.342001661,0.558286445,-0.508404278,-1.954236384,1.160796256,-0.633539007
1812,Yes,0.312998756,0.083974415,-0.938674406,-0.848111205,-0.158111514,-0.342411762,-0.333249751,-0.432687093,-0.359654904,0.644478192,-0.162922982,-0.387349805,1.215227825,0.908351644,-0.637939275,-0.143402146,-1.085815231,-1.5691685,-1.750652406,-0.290052833,-0.245871863,1.001986977,-0.269925298,0.705202313,-0.563611678,-0.534652353,-1.684856759,-0.873734642,1.723800041,-1.530219862,-0.553306796,1.026188626,-1.720934804,-1.197910989,-0.948129472,0.649783566,-1.505136725,-0.551607393,-0.480150619,-0.833614177,0.501760412,-2.242487553,1.184646501,0.139384174,0.457945357,-2.273392496,-1.192768235,0.343779189,-0.585889189,-0.09440932,1.293924652,0.530174383,-0.606765959,0.689797831,1.082739161,-0.353806662,-0.62444795,-0.456103203,1.088892907,0.825337055,0.471803442,-0.855081259,-0.808565925,-1.145402094,1.087300527,-0.647947583,0.615860208,-0.363167039,0.248509906,0.522992754,-2.300261759,-0.305084684,0.553599309,1.154874958,-0.65016561,-0.99184764,-0.009490869,1.061646756,0.501055844,0.418544028,-0.440512176,0.515658656,-0.176715687,-0.517811101,-0.431216934,-0.056461434,0.27531337,-1.092893364,-1.375804053,1.133528239,0.520423718,-0.429916604,0.356000753,-0.537437812,0.657899939,-0.374496676,1.1539257,1.256277353,-0.162851673,-0.769600484,0.549551018,1.152797247,1.370280803
